Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,6
2004-04,7
2004-05,7
2004-06,5
2004-07,5
2004-08,7
2004-09,5
2004-10,10
2004-11,6
2004-12,7
2005-01,6
2005-02,8
2005-03,9
2005-04,8
2005-05,5
2005-06,7
2005-07,8
2005-08,9
2005-09,9
2005-10,13
2005-11,10
2005-12,8
2006-01,10
2006-02,11
2006-03,12
2006-04,12
2006-05,11
2006-06,11
2006-07,10
2006-08,12
2006-09,13
2006-10,16
2006-11,12
2006-12,12
2007-01,13
2007-02,17
2007-03,15
2007-04,16
2007-05,16
2007-06,17
2007-07,19
2007-08,18
2007-09,18
2007-10,23
2007-11,19
2007-12,19
2008-01,20
2008-02,25
2008-03,24
2008-04,23
2008-05,25
2008-06,25
2008-07,25
2008-08,25
2008-09,27
2008-10,32
2008-11,28
2008-12,26
2009-01,29
2009-02,36
2009-03,35
2009-04,35
2009-05,36
2009-06,36
2009-07,36
2009-08,39
2009-09,36
2009-10,44
2009-11,39
2009-12,34
2010-01,37
2010-02,46
2010-03,45
2010-04,48
2010-05,49
2010-06,48
2010-07,57
2010-08,62
2010-09,60
2010-10,66
2010-11,57
2010-12,55
2011-01,58
2011-02,74
2011-03,70
2011-04,76
2011-05,68
2011-06,70
2011-07,70
2011-08,76
2011-09,73
2011-10,84
2011-11,82
2011-12,80
2012-01,79
2012-02,96
2012-03,91
2012-04,92
2012-05,91
2012-06,89
2012-07,89
2012-08,87
2012-09,93
2012-10,98
2012-11,86
2012-12,87
2013-01,84
2013-02,97
2013-03,96
2013-04,87
2013-05,89
2013-06,86
2013-07,85
2013-08,85
2013-09,87
2013-10,100
2013-11,90
2013-12,83
2014-01,84
2014-02,97
2014-03,91
2014-04,88
2014-05,85
2014-06,78
2014-07,81
2014-08,82
2014-09,84
2014-10,89
2014-11,82
2014-12,77
2015-01,72
2015-02,89
2015-03,84
2015-04,76
2015-05,79
2015-06,74
2015-07,71
2015-08,70
2015-09,72
2015-10,81
2015-11,72
2015-12,68
2016-01,67
2016-02,77
2016-03,74
2016-04,65
2016-05,67
2016-06,61
2016-07,63
2016-08,59
2016-09,62
2016-10,67
2016-11,60
2016-12,58
2017-01,56
2017-02,70
2017-03,63
2017-04,58
2017-05,57
2017-06,54
2017-07,52
2017-08,53
2017-09,55
2017-10,61
2017-11,54
2017-12,50
2018-01,49
2018-02,59
2018-03,59
2018-04,51
2018-05,53
2018-06,49
2018-07,46
2018-08,49
2018-09,49
2018-10,53
2018-11,48
2018-12,49
2019-01,54
2019-02,55
2019-03,51
2019-04,48
2019-05,48
2019-06,44
2019-07,42
2019-08,44
2019-09,46
2019-10,56
2019-11,45
2019-12,44
2020-01,42
2020-02,50
2020-03,44
2020-04,58
2020-05,60
2020-06,52
2020-07,49
2020-08,45
2020-09,44
2020-10,48
2020-11,43
2020-12,41
2021-01,43
2021-02,54
2021-03,48
